location,calcium,magnesium,sodium,potassium,boron,carbonate,bicarbonate,sulfate,chloride,nitrates,pH,conductivity,hardness_1,hardness_2,alkalinity,total_dissolved_salts,sar,yield
Farm_C,877.3393534,40.72880232,280.9631896,506.1418628,586.229832,829.7418037,176.528032,32.52617949,706.7772169,601.6118201,5.261205101,1575.750058,237.2065842,268.5556312,306.2198125,191.7031493,3.177039647,118.8
Farm_A,289.7514529,140.0840152,631.8372122,756.1633289,124.2972235,373.3093163,924.3961954,634.0057031,182.1179157,797.8136489,6.307387323,1385.289081,76.36842499,69.74229055,218.5487992,861.3292957,9.671493168,96.3
Farm_C,632.3058306,962.6484147,374.8705795,975.6102009,821.2573047,487.4311982,17.87393473,638.5259477,514.8173539,539.1612767,7.740365897,253.1428761,232.8741226,99.02442818,293.7671656,568.1529031,8.031896702,111.0
Farm_C,497.2485059,127.0605127,986.0010638,919.3919732,116.8980407,181.4354351,997.9341105,683.2953766,276.8277972,812.9857387,4.410858337,450.504881,70.86602125,76.0562007,390.2961263,303.426098,1.591253731,111.9
Farm_A,817.2222002,474.1738291,455.6567528,640.8263147,18.11018382,136.8856301,779.5844736,796.537291,36.67142693,228.0797719,8.209992764,163.8658403,138.0937367,298.2042097,227.8119845,858.4407119,1.686152962,100.19999999999999
Farm_C,502.6370931,877.4720135,944.7657299,215.201872,632.2642879,694.6964709,565.731964,200.1502442,838.1152896,894.1908747,4.176556775,1371.142441,264.5854192,85.53428095,447.5591433,710.0318803,7.944642199,115.19999999999999
Farm_A,243.9896434,23.27193574,864.7223763,481.3441516,176.3869865,495.4913162,495.146527,78.57849716,93.90071579,104.1096494,4.940123673,255.2781569,77.68014833,268.4246484,99.16889464,865.313201,7.464980578,99.9
Farm_A,807.4401552,867.0723186,57.55876002,539.9571303,201.62732,231.0747966,230.0088373,102.509728,199.5424509,388.5581013,6.561109604,1598.368433,194.3983415,199.744627,203.271875,827.411689,7.931423906,101.7
Farm_A,936.1547742,905.3819764,704.0797681,688.1347061,400.7630609,180.5753451,6.385871717,247.103234,878.5155613,175.3029424,7.21162763,151.6181003,275.7237488,129.7167046,383.2142594,543.578126,4.532123676,101.10000000000001
Farm_B,257.9416277,855.460584,950.4114841,439.5116886,505.8886789,206.4212718,220.4862091,920.8478478,167.0419079,819.1888594,7.775209644,224.1956994,212.7868962,173.3866451,329.2972159,424.2105269,5.50543214,195.29999999999998
Farm_B,393.0977247,281.8547748,999.7176733,259.8132087,418.9254495,434.8273386,592.4077847,132.715754,443.7502193,578.386917,7.918958922,1020.922946,60.50616879,80.1396041,247.6174175,691.618134,6.765536652,203.4
Farm_C,649.632899,100.7780014,969.9143978,367.7593509,346.3459944,496.3662472,723.4201137,559.6486835,139.6512548,695.144554,4.495890498,1094.442732,77.7473673,219.6674892,491.3327046,287.9944516,9.493314335,114.3
Farm_A,222.1078105,93.98193984,700.9691315,303.1283559,376.9444294,855.6964681,625.8913764,871.5368062,371.038763,863.3336496,5.482677906,1872.91533,276.5358137,158.6489902,113.2488354,165.6116518,3.698204748,102.9
Farm_C,251.7822958,360.1906414,947.2485774,515.6794277,624.2379959,26.53220387,798.7832358,770.4074178,421.7209269,764.8832615,4.104724805,1216.761786,203.8245063,178.0909444,60.50844335,528.7932877,3.726241559,114.0
Farm_B,257.9416277,855.460584,950.4114841,439.5116886,505.8886789,206.4212718,220.4862091,920.8478478,167.0419079,819.1888594,7.775209644,224.1956994,212.7868962,173.3866451,329.2972159,424.2105269,5.50543214,195.29999999999998
Farm_A,339.029791,635.0936509,974.3948077,58.16379551,576.2883602,418.7705249,396.2420189,64.20893708,205.84121,780.5255152,4.215868679,141.4644539,221.5817992,201.9763035,290.0239829,180.3605721,5.009874749,101.7
Farm_C,174.366429,611.7207462,523.0978442,68.17230939,345.6959935,272.3073265,167.0339461,185.5255157,73.49674733,256.5627837,4.987352449,636.1554419,93.44039828,123.3722058,112.6385156,348.552602,1.559829035,108.60000000000001
Farm_A,76.97990983,990.0538501,573.4378881,450.3709363,965.0269107,946.1154621,297.3490074,259.8035811,336.8957918,762.2851348,8.508809961,1246.626567,174.453127,96.33254488,359.7822583,789.5043395,5.176856435,95.7
Farm_B,325.3996982,195.7911348,594.1307154,449.7846488,537.3956029,595.0779307,372.688517,618.1557343,488.8465803,987.7855202,7.632308576,1716.17051,217.683078,285.4314279,309.7755632,489.4562224,8.133356047,193.20000000000002
Farm_A,144.8948721,726.0913337,11.35364477,868.0566901,151.6748797,624.1489078,421.3570023,82.38104562,179.6831089,60.26739029,7.219521268,592.6638418,270.4819396,113.5978952,492.8059234,627.2783096,9.921951114,101.39999999999999
Farm_C,633.4037565,697.015741,672.5184561,927.1778195,66.49626737,25.38635566,862.042651,761.0279025,555.3635509,544.489098,7.183348411,1046.685796,243.9029627,195.7017088,450.5436658,169.8844012,7.965922403,108.89999999999999
Farm_C,228.7981655,615.0072267,950.6071469,96.67644965,830.6194078,861.785621,697.4202672,631.813527,975.8652558,807.8459419,4.192131745,1165.254179,184.6754495,273.0756245,367.5136382,692.6864641,1.08931439,118.2
Farm_A,144.8948721,726.0913337,11.35364477,868.0566901,151.6748797,624.1489078,421.3570023,82.38104562,179.6831089,60.26739029,7.219521268,592.6638418,270.4819396,113.5978952,492.8059234,627.2783096,9.921951114,101.39999999999999
Farm_A,853.0094555,902.5529067,560.9379715,394.4762786,472.0669451,489.4249636,128.8698675,817.29777,48.21203886,661.8391898,4.016091318,1767.877148,167.1919914,247.24629,499.0193851,851.9322032,3.59996445,99.6
Farm_A,606.4290597,26.51131054,949.7999133,692.1613417,124.6626812,288.6937368,91.4868374,600.0205481,316.156105,736.8737449,6.951738452,587.4071186,126.3276692,200.9488632,258.2040223,969.4427546,9.562868293,102.9
Farm_C,928.3185626,428.9940274,772.3183917,324.6759269,898.0542894,658.7833667,880.8707592,814.8251137,651.232977,324.3337531,6.965221671,727.4086233,185.1746192,157.4827693,175.4419426,152.2827569,1.262527873,111.60000000000001
Farm_B,323.202932,542.6446347,81.34878064,936.957823,502.7203901,204.9842954,24.40078156,130.0862401,578.6754086,341.2478276,4.925977839,1592.738074,100.5039171,160.8450036,483.8078332,352.904049,1.212354682,196.5
Farm_C,609.564334,622.8904758,777.1469159,208.5105144,139.2720727,817.4435617,479.8756203,426.1813022,622.9665836,195.7779857,7.123317844,145.9643514,291.7816538,287.6327631,102.2625321,422.0326757,7.726999659,109.5
Farm_A,900.4180572,398.5047344,583.6561119,780.7615861,707.2386343,175.3712786,994.9078226,200.5247267,585.3543644,353.4213793,8.923348698,759.9523199,219.0443905,276.9027506,459.2545749,439.5862486,1.395099484,98.7
